統計期,畢業年,學位,學門,薪資
114年 1月,112年畢業,學士,建築及營建工程學門,39152.0
114年 1月,113年畢業,學士,建築及營建工程學門,38263.0
114年 7月,109年畢業,學士,建築及營建工程學門,45489.0
114年 7月,110年畢業,學士,建築及營建工程學門,43535.0
114年 7月,111年畢業,學士,建築及營建工程學門,42620.0
114年 7月,112年畢業,學士,建築及營建工程學門,40957.0
114年 7月,113年畢業,學士,建築及營建工程學門,39838.0
112年 1月,109年畢業,學士,農業學門,34600.0
112年 1月,110年畢業,學士,農業學門,33595.0
112年 1月,111年畢業,學士,農業學門,31315.0
112年 7月,109年畢業,學士,農業學門,35508.0
112年 7月,110年畢業,學士,農業學門,34532.0
112年 7月,111年畢業,學士,農業學門,32145.0
112年 7月,112年畢業,學士,農業學門,30928.0
113年 1月,109年畢業,學士,農業學門,37009.0
113年 1月,110年畢業,學士,農業學門,35981.0
113年 1月,111年畢業,學士,農業學門,33451.0
113年 1月,112年畢業,學士,農業學門,32289.0
113年 7月,109年畢業,學士,農業學門,38027.0
113年 7月,110年畢業,學士,農業學門,37785.0
113年 7月,111年畢業,學士,農業學門,34336.0
113年 7月,112年畢業,學士,農業學門,33612.0
113年 7月,113年畢業,學士,農業學門,31367.0
114年 1月,109年畢業,學士,農業學門,39734.0
114年 1月,110年畢業,學士,農業學門,38522.0
114年 1月,111年畢業,學士,農業學門,36233.0
114年 1月,112年畢業,學士,農業學門,35074.0
114年 1月,113年畢業,學士,農業學門,33336.0
114年 7月,109年畢業,學士,農業學門,41214.0
114年 7月,110年畢業,學士,農業學門,39385.0
114年 7月,111年畢業,學士,農業學門,37365.0
114年 7月,112年畢業,學士,農業學門,36268.0
114年 7月,113年畢業,學士,農業學門,34660.0
112年 1月,109年畢業,學士,林業學門,33014.0
112年 1月,110年畢業,學士,林業學門,32265.0
112年 1月,111年畢業,學士,林業學門,30652.0
112年 7月,109年畢業,學士,林業學門,33584.0
112年 7月,110年畢業,學士,林業學門,33269.0
112年 7月,111年畢業,學士,林業學門,32433.0
112年 7月,112年畢業,學士,林業學門,29690.0
113年 1月,109年畢業,學士,林業學門,34832.0
113年 1月,110年畢業,學士,林業學門,34681.0
113年 1月,111年畢業,學士,林業學門,33526.0
113年 1月,112年畢業,學士,林業學門,31344.0
113年 7月,109年畢業,學士,林業學門,36041.0
113年 7月,110年畢業,學士,林業學門,35283.0
113年 7月,111年畢業,學士,林業學門,34908.0
113年 7月,112年畢業,學士,林業學門,33049.0
113年 7月,113年畢業,學士,林業學門,31184.0
114年 1月,109年畢業,學士,林業學門,37380.0
114年 1月,110年畢業,學士,林業學門,36560.0
114年 1月,111年畢業,學士,林業學門,36455.0
114年 1月,112年畢業,學士,林業學門,33862.0
114年 1月,113年畢業,學士,林業學門,32817.0
114年 7月,109年畢業,學士,林業學門,38705.0
114年 7月,110年畢業,學士,林業學門,38133.0
114年 7月,111年畢業,學士,林業學門,38117.0
114年 7月,112年畢業,學士,林業學門,35715.0
114年 7月,113年畢業,學士,林業學門,34230.0
112年 1月,109年畢業,學士,漁業學門,33512.0
112年 1月,110年畢業,學士,漁業學門,32203.0
112年 1月,111年畢業,學士,漁業學門,30399.0
112年 7月,109年畢業,學士,漁業學門,34965.0
112年 7月,110年畢業,學士,漁業學門,33276.0
112年 7月,111年畢業,學士,漁業學門,31885.0
112年 7月,112年畢業,學士,漁業學門,29602.0
113年 1月,109年畢業,學士,漁業學門,36334.0
113年 1月,110年畢業,學士,漁業學門,34153.0
113年 1月,111年畢業,學士,漁業學門,33288.0
113年 1月,112年畢業,學士,漁業學門,31701.0
113年 7月,109年畢業,學士,漁業學門,36954.0
113年 7月,110年畢業,學士,漁業學門,36092.0
113年 7月,111年畢業,學士,漁業學門,34590.0
113年 7月,112年畢業,學士,漁業學門,33095.0
113年 7月,113年畢業,學士,漁業學門,34236.0
114年 1月,109年畢業,學士,漁業學門,38688.0
114年 1月,110年畢業,學士,漁業學門,36788.0
114年 1月,111年畢業,學士,漁業學門,35514.0
114年 1月,112年畢業,學士,漁業學門,34819.0
114年 1月,113年畢業,學士,漁業學門,33950.0
114年 7月,109年畢業,學士,漁業學門,38866.0
114年 7月,110年畢業,學士,漁業學門,37861.0
114年 7月,111年畢業,學士,漁業學門,36370.0
114年 7月,112年畢業,學士,漁業學門,35691.0
114年 7月,113年畢業,學士,漁業學門,35199.0
112年 1月,109年畢業,學士,獸醫學門,38355.0
112年 1月,110年畢業,學士,獸醫學門,35309.0
112年 1月,111年畢業,學士,獸醫學門,32748.0
112年 7月,109年畢業,學士,獸醫學門,40274.0
112年 7月,110年畢業,學士,獸醫學門,36575.0
112年 7月,111年畢業,學士,獸醫學門,34948.0
112年 7月,112年畢業,學士,獸醫學門,28833.0
113年 1月,109年畢業,學士,獸醫學門,42039.0
