學年度,學校代碼,學校名稱,科系代碼,科系名稱,日間∕進修別,等級別,學生數,教師數,上學年度畢業生數,縣市名稱,體系別
113,0007,國立陽明交通大學,99999Z01,通識及共同科目,D 日,,0,9,0,18 新竹市,1 一般
113,0007,國立陽明交通大學,99999Z02,計算機中心,D 日,,0,5,0,18 新竹市,1 一般
113,0007,國立陽明交通大學,99999Z03,軍訓教官,D 日,,0,9,0,18 新竹市,1 一般
113,0007,國立陽明交通大學,99999Z07,體育室,D 日,,0,19,0,18 新竹市,1 一般
113,0007,國立陽明交通大學,99999Z08,語言中心,D 日,,0,8,0,18 新竹市,1 一般
113,0007,國立陽明交通大學,99999Z99,其他(包括行政助教),D 日,,0,18,0,18 新竹市,1 一般
113,0008,國立中央大學,01115001,學習與教學研究所,D 日,D 博士,25,0,3,03 桃園市,1 一般
113,0008,國立中央大學,01115001,學習與教學研究所,D 日,M 碩士,28,6,7,03 桃園市,1 一般
113,0008,國立中央大學,02191004,藝術學研究所,D 日,M 碩士,34,4,7,03 桃園市,1 一般
113,0008,國立中央大學,02221010,歷史研究所,D 日,M 碩士,43,7,3,03 桃園市,1 一般
113,0008,國立中央大學,02221010,歷史研究所,N 職,M 碩士,46,0,6,03 桃園市,1 一般
113,0008,國立中央大學,02231011,哲學研究所,D 日,D 博士,30,0,4,03 桃園市,1 一般
113,0008,國立中央大學,02231011,哲學研究所,D 日,M 碩士,19,7,4,03 桃園市,1 一般
113,0008,國立中央大學,02231011,哲學研究所,N 職,M 碩士,47,0,3,03 桃園市,1 一般
113,0008,國立中央大學,02299012,亞際文化研究國際碩士學位學程(台灣聯合大學系統),D 日,M 碩士,14,0,3,03 桃園市,1 一般
113,0008,國立中央大學,02299080,文學院學士班,D 日,B 學士,80,4,16,03 桃園市,1 一般
113,0008,國立中央大學,02311007,英美語文學系,D 日,M 碩士,30,0,5,03 桃園市,1 一般
113,0008,國立中央大學,02311007,英美語文學系,D 日,B 學士,192,15,45,03 桃園市,1 一般
113,0008,國立中央大學,02311008,法國語文學系,D 日,M 碩士,11,0,1,03 桃園市,1 一般
113,0008,國立中央大學,02311008,法國語文學系,D 日,B 學士,198,12,59,03 桃園市,1 一般
113,0008,國立中央大學,02322006,中國文學系,D 日,D 博士,24,0,4,03 桃園市,1 一般
113,0008,國立中央大學,02322006,中國文學系,D 日,M 碩士,56,0,9,03 桃園市,1 一般
113,0008,國立中央大學,02322006,中國文學系,D 日,B 學士,188,19,42,03 桃園市,1 一般
113,0008,國立中央大學,03111013,經濟學系,D 日,D 博士,2,0,0,03 桃園市,1 一般
113,0008,國立中央大學,03111013,經濟學系,D 日,M 碩士,33,0,9,03 桃園市,1 一般
113,0008,國立中央大學,03111013,經濟學系,D 日,B 學士,265,10,56,03 桃園市,1 一般
113,0008,國立中央大學,03111014,產業經濟研究所,D 日,D 博士,1,0,0,03 桃園市,1 一般
113,0008,國立中央大學,03111014,產業經濟研究所,D 日,M 碩士,62,5,26,03 桃園市,1 一般
113,0008,國立中央大學,03111014,產業經濟研究所,N 職,M 碩士,71,0,16,03 桃園市,1 一般
113,0008,國立中央大學,03131017,認知神經科學研究所,D 日,D 博士,11,0,0,03 桃園市,1 一般
113,0008,國立中央大學,03131017,認知神經科學研究所,D 日,M 碩士,29,7,3,03 桃園市,1 一般
113,0008,國立中央大學,03131034,跨領域神經科學日間博士班,D 日,D 博士,8,0,0,03 桃園市,1 一般
113,0008,國立中央大學,03199020,客家語文暨社會科學學系客家研究博士班,D 日,D 博士,22,0,0,03 桃園市,1 一般
113,0008,國立中央大學,03199020,客家語文暨社會科學學系,D 日,M 碩士,48,0,9,03 桃園市,1 一般
113,0008,國立中央大學,03199020,客家語文暨社會科學學系客家研究碩士在職專班,N 職,M 碩士,75,0,16,03 桃園市,1 一般
113,0008,國立中央大學,03199020,客家語文暨社會科學學系,D 日,B 學士,141,15,30,03 桃園市,1 一般
113,0008,國立中央大學,04111022,會計研究所,D 日,M 碩士,29,5,14,03 桃園市,1 一般
